STI001,Doctor,60000
STI002,Doctor,60000
STI003,Doctor,60000
STI004,Doctor,60000
STI005,Doctor,60000
STI006,Doctor,50000
STI007,Doctor,50000
STI008,Doctor,50000
STI009,Others,10000
STI010,Others,10000
STI011,Others,10000
STI012,Others,10000
STI013,Others,10000
STI014,Others,10000
STI015,Others,10000
STI016,Nurse,27000
STI017,Nurse,27000
STI018,Nurse,27000
STI019,Nurse,27000
STI020,Nurse,27000
STI021,Nurse,27000
STI022,Nurse,27000
STI023,Nurse,22000
STI024,Nurse,22000
STI025,Nurse,22000
STI026,Nurse,22000
STI027,Nurse,22000
STI028,Nurse,22000
STI029,Nurse,22000
STI030,Nurse,22000
STI031,Nurse,22000
STI032,Nurse,20000
STI033,Nurse,20000
STI034,Nurse,20000
STI035,Nurse,20000
STI036,Nurse,20000
STI037,Nurse,20000
STI038,Receptionist,17000
STI039,Receptionist,17000
STI040,Receptionist,17000